Building_number,Building_name,Year_built,Building_adress,Square_feet,Floors,Building_elevation,Property_type,Electricity_in_kWh,Chilled_water_ton_hr,Steam_in_klb,Natural_gas_in_therms,EUI_in_mmbtu_per_sqft
18,Gerrard Hall,1837,160 E CameronAve,5455,3,518.88,THEATRE/PRFMNC,32663,18726,177,,0.1
42,Playmakers Theatre,1851,202 E CameronAve,7152,3,519.19,THEATRE/PRFMNC,7280,,262,,0.05
38,Person Hall,1797,181 E CameronAve,7900,2,517.57,LAB/CLASS,64711,50798,272,,0.15
103,Student Affairs Building,1900,230 E CameronAve,14637,3,533.2,ADMINISTRATIVE,174710,,434,,0.08
151,Campus Y,1907,180 E CameronAve,14464,4,524.29,ADMINISTRATIVE,178345,78534,442,,0.14
31,Naval Armory,1945,221 S ColumbiaSt,18519,3,493.06,ADMINISTRATIVE,134365,66058,624,,0.11
646,Tomkins Chilled Water Operations Center,2005,140 Mason FarmRd,22165,3,489.55,UT GENERATION,3329202,82752,625,,0.59
35,New West,1861,175 E CameronAve,19682,5,540.77,CLASSROOMS,170150,97411,643,,0.13
50,Steele Bldg,1921,214 E CameronAve,19108,5,526.48,ADMINISTRATIVE,169166,92528,687,,0.13
8,Bynum Hall,1905,222 E CameronAve,23189,3,520.69,ADMINISTRATIVE,246441,101629,744,,0.13
7,Bingham Hall,1929,201 LenoirDr,25943,4,518.9,CLASSROOMS,329515,,745,,0.08
115,Old West,1823,193 E CameronAve,18239,4,530.12,RESIDENCE HALLS,172349,104654,746,2695,0.16
55,Hyde Hall,2003,176 E FranklinSt,16062,3,520.46,ADMINISTRATIVE,173325,104924,772,83,0.17
128,Smith Bldg,1901,135 E CameronAve,17983,4,527.97,ADMINISTRATIVE,128430,,820,,0.08
246,NC Area Health Education Center Bldg,2000,145  MedicalDr,19887,5,554.13,ADMINISTRATIVE,230730,93368,869,,0.15
66,Greenlaw Hall,1970,203 LenoirDr,58069,6,541.55,CLASSROOMS,1083000,225648,926,,0.13
114,Old East,1795,203 E CameronAve,17964,4,530.19,RESIDENCE HALLS,146344,97209,961,1784,0.17
9,Caldwell Hall,1912,240 E CameronAve,33138,4,526.35,CLASSROOMS,216214,,986,,0.06
130,Whitehead,1939,101 McCauleySt,19333,4,512.51,ADMINISTRATIVE,125539,,1013,,0.08
56,Battle Hall,1912,170 E FranklinSt,9072,4,519.71,ADMINISTRATIVE,158826,67050,1029,,0.11
110,Lewis Res Hall,1924,203 RaleighSt,19501,4,501.85,RESIDENCE HALLS,134671,112516,1090,,0.16
106,Everett Res Hall,1928,201 RaleighSt,19435,4,501.93,RESIDENCE HALLS,120456,75317,1090,,0.13
118,Stacy Res Hall,1938,104 Country ClubRd,20110,4,500.29,RESIDENCE HALLS,177085,28169,1148,,0.12
206,Bondurant Hall,1962,321 S ColumbiaSt,118987,7,594.52,ADMINISTRATIVE,1194943,357733,1158,1,0.08
33,New East,1861,223 E CameronAve,19267,4,540.44,CLASSROOMS,199980,142229,1181,,0.2
5,South Building,1814,200 E CameronAve,32494,5,538.72,ADMINISTRATIVE,276854,142222,1214,,0.13
136,Horton Res Hall,2002,411 Skipper BowlesDr,74402,6,485.81,RESIDENCE HALLS,1227345,573294,1265,,0.17
108,Grimes Res Hall,1922,101 EmersonDr,23991,5,507.4,RESIDENCE HALLS,159088,224185,1272,,0.2
117,Ruffin Jr Residence Hall,1922,103 EmersonDr,23991,5,507.16,RESIDENCE HALLS,146924,192993,1272,,0.18
2,Abernethy Hall,1907,131 S ColumbiaSt,16948,3,518.9,ADMINISTRATIVE,115462,,1336,,0.12
100,Alexander Res Hall,1939,207 RaleighSt,25111,4,506.4,RESIDENCE HALLS,313388,123056,1364,,0.17
107,Graham Res Hall,1924,102 Country ClubRd,24200,4,497.79,RESIDENCE HALLS,50963,,1401,,0.08
30,Murphey Hall,1924,204 LenoirDr,29029,4,527.49,CLASSROOMS,347619,180346,1440,,0.18
126,McIver Res Hall,1939,103 RaleighSt,26215,4,490.04,RESIDENCE HALLS,244820,87456,1454,,0.14
112,Manly Res Hall,1922,200 RaleighSt,26490,5,505.27,RESIDENCE HALLS,219410,236351,1536,,0.2
111,Mangum Res Hall,1922,204 RaleighSt,26630,5,505.59,RESIDENCE HALLS,170862,209647,1536,,0.19
121,Alderman Res Hall,1937,101 RaleighSt,26978,4,499.13,RESIDENCE HALLS,219894,116560,1542,,0.15
17,Gardner Hall,1953,141 SouthRd,41380,5,527.54,CLASSROOMS,441995,,1683,,0.09
116,Parker Res Hall,1958,109 StadiumDr,46008,4,472.93,RESIDENCE HALLS,376680,,1698,,0.07
119,Teague Res Hall,1958,105 StadiumDr,51013,4,486.57,RESIDENCE HALLS,323800,,1716,,0.06
21,Howell Hall,1906,231 E CameronAve,25499,3,516.44,ACADEMIC RSRCH,341845,166354,1738,,0.21
44,Swain Hall,1914,101 E CameronAve,39106,3,525.31,LAB/CLASS,234767,132661,1894,,0.11
625,ITS Manning,2007,211 ManningDr,97180,6,0,ADMINISTRATIVE,8874881,2601094,1903,,0.66
4,Alumni Bldg,1901,207 E CameronAve,31999,4,532.86,CLASSROOMS,221753,230778,1915,,0.18
19,Hanes Hall,1953,150 E CameronAve,41926,5,527.33,CLASSROOMS,356466,172308,1925,,0.13
125,Kenan Res Hall,1939,112 BattleLn,34151,4,498.84,RESIDENCE HALLS,317881,155826,1936,,0.15
93,"Global Education, Fedex",2007,301 PittsboroSt,143750,7,0,ADMINISTRATIVE,890435,353410,1973,,0.07
430,Public Safety Bldg,1988,285 ManningDr,23447,2,472.5,ADMINISTRATIVE,529808,239550,1979,,0.3
26,Manning Hall,1923,216 LenoirDr,57202,7,527.09,CLASSROOMS,945268,344232,1980,,0.17
102,Residence Hall One,1924,100 Country ClubRd,34284,4,497.79,RESIDENCE HALLS,422130,239575,1993,,0.2
597,"Smith, Eddie Field House",2001,210 RidgeRd,81025,3,498.18,ATHLETIC,776379,212184,2001,,0.09
84,Tate-Turner-Kuralt Bldg,1995,325 PittsboroSt,79288,6,583.43,CLASSROOMS,706640,347162,2145,,0.12
644,Ram Village At 550 Paul Hardin Drive,2006,550 Paul HardinDr,54883,6,0,RESIDENCE HALLS,733988,215874,2214,,0.14
123,Connor Res Hall,1948,281 RaleighSt,47743,5,502.79,RESIDENCE HALLS,360208,183858,2252,,0.13
101,Avery Res Hall,1958,295 RidgeRd,64309,5,463.12,RESIDENCE HALLS,471976,,2276,,0.07
129,Spencer Res Hall,1924,100 RaleighSt,44576,5,504.9,RESIDENCE HALLS,381485,,2371,,0.09
153,Jackson Hall,1942,108 Country ClubRd,13895,2,492.48,ADMINISTRATIVE,194400,192326,2382,,0.42
62,Student Stores Building,1968,207 SouthRd,57369,4,499.81,COMMERCIAL,1033055,386252,2406,,0.19
124,Joyner Res Hall,1948,205 RaleighSt,52622,5,509.38,RESIDENCE HALLS,615518,,2428,,0.1
131,Winston  Res  Hall,1948,301 SouthRd,44768,5,499.62,RESIDENCE HALLS,436496,199862,2441,,0.15
138,Koury Res Hall,2002,480 EhringhausDr,74936,5,475.2,RESIDENCE HALLS,1068690,529433,2555,,0.17
95,Stone Center,2004,150 SouthRd,45145,4,503.2,ADMINISTRATIVE,548088,298657,2581,,0.19
91,SASB - North,2007,450 RidgeRd,74558,5,0,ADMINISTRATIVE,887652,328492,2584,,0.1
139,Hardin Res Hall,2002,495 Paul HardinDr,59537,4,543.85,RESIDENCE HALLS,915797,410462,2670,,0.19
429A,Boshamer Stadium,2009,235 RidgeRd,50919,3,0,ATHLETIC,916790,279366,2833,582,0.19
25,Carmichael Arena,1965,310 SouthRd,106428,3,486.31,ATHLETIC,1199616,652917,2859,,0.14
88,Kenan Music Bldg,2008,125 S ColumbiaSt,44716,4,0,LAB/CLASS,438352,258673,2895,,0.18
223,Health Sciences Library,1970,335 S ColumbiaSt,91537,8,577.08,LIBRARY,1256136,497282,2990,,0.15
70,Hamilton Hall,1972,102 EmersonDr,85327,7,561.49,CLASSROOMS,957176,404184,3024,,0.14
20,Hill Hall,1907,145 E CameronAve,61298,3,529.37,CLASSROOMS,506361,200787,3051,,0.13
43,Carolina Hall,1922,220 E CameronAve,30873,4,526.93,CLASSROOMS,291109,187281,3129,,0.23
469,Taylor Campus Health,1980,320 Emergency RoomDr,61573,4,524.18,CLINICAL,1076878,,3161,,0.12
137,Craige North Res Hall,2002,515 Paul HardinDr,75581,5,454.38,RESIDENCE HALLS,1098007,567771,3163,,0.19
78,Paul Green Theater,1978,120 Country ClubRd #Theatre,41395,4,504.22,THEATRE/PRFMNC,462674,124289,3206,,0.17
37,Peabody Hall,1913,100 E CameronAve,79788,4,531.73,CLASSROOMS,721051,378853,3249,,0.14
14,Dey Hall,1962,135 SouthRd,64091,4,510.01,CLASSROOMS,469726,377789,3272,,0.16
83,Sitterson Hall (incl. Brooks),1987,201 S ColumbiaSt,110698,4,521.72,LAB/CLASS,2178291,827946,3281,1,0.19
641,Taylor Residence Hall,2006,510 WilliamsonDr,137455,7,0,RESIDENCE HALLS,821080,283114,3303,,0.07
10,Coker Hall,1963,120 SouthRd,78031,5,503.2,LAB/CLASS,1160291,475795,3398,22,0.18
658,Houpt Physician Office Building,2008,170 ManningDr,103222,7,0,ADMINISTRATIVE,1212233,540729,3399,,0.14
642,Ram Village At 520 Williamson Drive,2006,520 WilliamsonDr,142902,7,0,RESIDENCE HALLS,852639,336864,3458,,0.08
63,House Undergraduate Library,1968,203 SouthRd,78167,3,500.88,LIBRARY,1223515,746962,3513,,0.22
645,Ram Village At 540 Paul Hardin Drive,2006,540 Paul HardinDr,84900,6,0,RESIDENCE HALLS,456973,345307,3582,,0.12
746,Koman Practice Complex,2019,242 RidgeRd,106887,0,0,ATHLETIC,1296570,,3614,,0.09
79,Hanes Art Center,1982,121 E CameronAve,77315,4,544.26,LAB/CLASS,1013467,592560,3649,,0.19
46,Wilson  Hall,1940,110 SouthRd,100573,6,473.77,LAB/CLASS,1094970,263418,3759,,0.11
122,Cobb Res Hall,1952,110 Country ClubRd,113297,5,513.03,RESIDENCE HALLS,876598,466198,3856,,0.12
209,First Dental,1953,150 DentalCir,70998,5,508.44,ADMINISTRATIVE,717909,480261,3867,,0.18
59,Knapp-Sanders Bldg,1956,400 SouthRd,131941,5,498.05,CONFERENCE CTR,1055642,496864,3958,,0.11
104,Craige Res Hall,1962,555 Paul HardinDr,154306,7,472.08,RESIDENCE HALLS,1204785,,3994,,0.06
201,Rosenau Hall,1962,421 PittsboroSt,121744,6,575.14,ADMINISTRATIVE,1532876,604328,4141,,0.14
27,Memorial Hall,1931,140 E CameronAve,62798,5,542.44,THEATRE/PRFMNC,423341,319889,4214,,0.16
498,Kenan Center,1986,360 Kenan CenterDr,63575,6,493.08,CONFERENCE CTR,913776,498931,4333,,0.23
643,Ram Village At 560 Paul Hardin Drive,2006,560 Paul HardinDr,103668,6,0,RESIDENCE HALLS,313619,527784,4341,,0.12
105,Ehringhaus Res Hall,1962,450 EhringhausDr,156314,7,413.61,RESIDENCE HALLS,1210086,,4406,,0.06
390,Rams Head Recreation,2005,340 RidgeRd,47414,3,426.6,PHYSICAL ED,620839,503987,4440,,0.28
29,Mitchell Hall,1964,104 SouthRd,58420,5,529.34,LAB/CLASS,756878,505752,4800,,0.25
567,"Kenan Football Center, Frank H.",1997,1 Stone CenterDr (other addresses),129650,4,543,ATHLETIC,1816274,842045,4945,,0.1
211,Brauer Hall,1969,140 DentalCir,108789,6,627.98,CLINICAL,,460071,4949,397,0.11
12,Carroll Hall,1955,211 S ColumbiaSt,94432,6,527.9,CLASSROOMS,1222882,623531,4982,,0.19
200,Beard Hall,1959,301 PharmacyLn,74778,4,538.54,LAB/CLASS,1188745,575923,5000,,0.23
202,MacNider Hall,1939,333 S ColumbiaSt,121140,6,508.44,ADMINISTRATIVE,2297890,1474811,5013,,0.26
248,Bioinformatics Bldg,2000,130 Mason FarmRd,152892,7,498.99,ACADEMIC RSRCH,1982409,587801,5029,,0.13
152,Morehead Planetarium,1949,222 E FranklinSt #Planet,56867,5,514.15,THEATRE/PRFMNC,877479,571057,5049,50,0.16
3,Ackland Art Museum,1958,101 S ColumbiaSt,40106,3,519.5,OTHER,651801,505203,5374,,0.37
238,McGavran-Greenberg Hall,1990,401 PittsboroSt,124402,4,575.14,LAB/CLASS,2120404,810211,5558,40,0.19
99,Carmichael Res Hall,1986,101 StadiumDr,107888,6,530.05,RESIDENCE HALLS,959223,497525,5919,,0.15
214,Carrington Hall,1969,120  MedicalDr,153083,8,563.59,LAB/CLASS,1965104,965309,6092,,0.17
244,Tarrson Hall,1998,120 DentalCir,99300,7,627.98,CLINICAL,3488141,841980,6105,,0.3
13,Davie Hall,1967,235 E CameronAve,80508,5,516.35,LAB/CLASS,967584,773690,6109,12148,0.26
113,Morrison Res Hall,1965,445 Paul HardinDr,217521,12,543.85,RESIDENCE HALLS,1366535,667049,6237,,0.09
109,Hinton James Res Hall,1967,515 Hinton JamesDr,220478,10,485.81,RESIDENCE HALLS,1778596,,6573,,0.06
39,Phillips Hall,1919,120 E CameronAve,148065,6,541.07,LAB/CLASS,1959488,829902,6777,,0.17
468,Fetzer Hall,1981,210 SouthRd,169912,4,492.65,PHYSICAL ED,1887716,425205,6806,,0.09
236,Glaxo Research Building,1988,101 Mason FarmRd,26927,2,526.19,RESEARCH LABORATORY,954759,788902,6820,783,0.78
375,Loudermilk Center for Excellence,2011,344 RidgeRd,196177,7,0,ATHLETIC,2171646,955235,6989,5364,0.14
65,Graham Student Union,1968,209 SouthRd,152021,3,497.88,CONFERENCE CTR,1758976,1052981,7109,,0.18
98,Hill Alumni Center,1993,106 StadiumDr,68760,4,487.21,CONFERENCE CTR,1798239,757164,7389,,0.35
133,Lenoir Hall,1939,211 LenoirDr,84515,4,506,HOTEL/DINING,2376100,665079,7483,,0.3
24,Wilson Library,1929,201 SouthRd,317529,13,526.41,LIBRARY,2295714,1175098,7575,,0.1
391,Chase Dining Hall (Rams Head),2005,320 RidgeRd,67684,4,487.21,HOTEL/DINING,2011720,915759,7832,28315,0.44
80,Davis Library,1983,208 RaleighSt,430141,10,567.02,LIBRARY,3748872,1312814,7866,,0.09
81,Morehead Chemistry Labs,1985,115 SouthRd,60946,6,589.09,LAB/CLASS,1352395,827552,8124,117,0.4
64,Van  Hecke-Wettach  Hall,1968,160 RidgeRd,165303,5,498.18,CLASSROOMS,1952589,11199431,8926,,0.19
48,Fordham Hall,1991,133  MedicalDr,67897,7,554.13,RESEARCH LABORATORY,2860016,1320145,8974,174,0.54
96,McColl Bldg,1997,300 Kenan CenterDr,215271,6,467.63,CLASSROOMS,3432903,1551787,9507,,0.19
